Russian,English,Synonym,Settlement,Latitude,Longitude
Ведлозерское,Vedlozero,Vodlozerskoe,Ведлозеро,61.572115,32.83602
Великогубское,Velikaya Guba,,Великая Губа,62.248879,35.070094
Великодворское,Velikodvorskoye,,Гакукса,61.573502,36.441112
Видлицкое,Vidlitsa,,Видлица,61.193667,32.397624
Водлозерское,Vodlozero,,Канзанаволок,62.354577,36.960113
Гиморецкое,Gimoretskoye,,Гимрека,61.151993,35.617783
Ивинское,Ivinskoye,Ивинского,Ивины,61.213796,34.87022
Колодозерское,Kolodozero,,Колодозеро,61.784631,37.742036
Кондопожское,Kondopoga,,Кондопога,62.170372,34.293806
Корбозерское,Korbozero,,Корбозеро,61.904489,37.736339
Коткозерское,Kotkozero,,Коткозеро,61.269439,33.208309
Кривецкое,Krivetskoye,,Кривцы,61.81164,36.953826
Кузарандское,Kuzaranda,Кузарандского,Кузаранда,62.377522,35.520896
Купецкое,Kupetskoye,,Авдеево,62.013292,36.053201
Ладвинское,Ladvinskoye,,Ладва,61.356007,34.62921
Мегрегское,Megregskoye,Мегрецкое,Мегрега,60.933125,33.099307
Мятусовское,Myatusovskoye,,Мятусово,60.977012,34.426065
Нигижемское,Nigizhemskoye,,Каршево,61.680946,36.308233
Олонецкое,Olonets,,Олонец,60.979719,32.972043
Паданское,Padanskoye,,Паданы,63.286475,33.415855
Песчанское,Peschanoye,,Песчаное,62.160833,35.792771
Пудожгорское,Pudozhgorskoye,,Пудожская Гора,62.292752,35.903928
Сенногубское,Sennaya Guba,,Сенная Губа,61.997359,35.224469
Типиницкое,Tipinitskoye,,Типиницы,62.190559,35.411624
Толвуйское,Tolvuya,,Толвуя,62.50946,35.28295
Туломозерское,Tulomozero,,Палалахта,61.627701,32.353562
Шальское,Shalskoye,,Семёново,61.826053,36.129944
Шунгское,Shungskoye,,Шуньга,62.593779,34.933559
Ялгубское,Yalgubskoye,,Ялгуба,61.883395,34.556033
